,Log_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,year,Ladder_score,Country_name,RI_Central and Eastern Europe,RI_Commonwealth of Independent States,RI_East Asia,RI_Latin America and Caribbean,RI_Middle East and North Africa,RI_North America and ANZ,RI_South Asia,RI_Southeast Asia,RI_Sub-Saharan Africa,RI_Western Europe
189,9.892,0.736,64.48,0.686,-0.188,0.949,2007,5.394,122,1,0,0,0,0,0,0,0,0,0
190,9.321,0.841,63.98,0.646,-0.112,0.664,2007,5.598,73,0,0,0,0,1,0,0,0,0,0
191,8.891,0.866,61.08,0.628,0.136,0.81,2007,6.33,55,0,0,0,1,0,0,0,0,0,0
192,9.063,0.756,65.58,0.638,-0.078,0.931,2007,5.214,117,0,0,0,1,0,0,0,0,0,0
193,8.898,0.704,59.98,0.603,0.311,0.96,2007,5.101,64,0,0,0,0,0,0,0,1,0,0
194,8.09,0.73,52.78,0.891,0.138,0.771,2007,5.22,53,0,0,0,0,0,0,0,0,1,0
195,10.792,0.922,70.26,0.901,0.069,0.721,2007,7.219,12,0,0,0,0,0,0,0,0,0,1
196,9.576,0.858,61.4,0.667,-0.225,0.695,2007,5.617,11,0,1,0,0,0,0,0,0,0,0
197,8.892,0.872,61.6,0.705,0.033,0.769,2007,6.451,13,0,0,0,1,0,0,0,0,0,0
198,8.218,0.712,61.897,0.365,-0.08,0.844,2007,4.151,114,0,0,0,0,1,0,0,0,0,0
199,7.522,0.708,49.6,0.716,-0.013,0.707,2007,4.318,147,0,0,0,0,0,0,0,0,1,0
200,10.074,0.885,59.26,0.593,-0.284,0.933,2007,5.223,123,0,1,0,0,0,0,0,0,0,0
201,10.361,0.827,70.5,0.656,-0.059,0.803,2007,5.767,135,0,0,1,0,0,0,0,0,0,0
202,9.126,0.863,63.84,0.699,0.132,0.93,2007,5.272,116,0,0,0,1,0,0,0,0,0,0
